ranking,team,matches,won,lost,tie,no_results,points,net_run_rate,for,against,season,season_id
1,India,9,9,0,0,0,18,2.57,2523/396.2,1708/450.0,2023/24,S2023-1
2,South Africa,9,7,2,0,0,14,1.261,2685/437.5,2158/443.0,2023/24,S2023-2
3,Australia,9,7,2,0,0,14,0.841,2631/426.5,2349/441.2,2023/24,S2023-3
4,New Zealand,9,5,4,0,0,10,0.743,2315/378.0,2279/423.3,2023/24,S2023-4
5,Pakistan,9,4,5,0,0,8,-0.199,2328/406.2,2385/402.2,2023/24,S2023-5
6,Afghanistan,9,4,5,0,0,8,-0.336,2095/425.5,2176/414.0,2023/24,S2023-6
7,England,9,3,6,0,0,6,-0.572,2245/450.0,2291/412.0,2023/24,S2023-7
8,Bangladesh,9,2,7,0,0,4,-1.087,2053/425.5,2431/411.3,2023/24,S2023-8
9,Sri Lanka,9,2,7,0,0,4,-1.419,2048/424.0,2459/393.3,2023/24,S2023-9
10,Netherlands,9,2,7,0,0,4,-1.825,1862/443.0,2549/422.5,2023/24,S2023-10
